timestamp,best (ofi1),ofi1,ofi2,ofi3,ofi4,ofi5,ofi6,ofi7,ofi8,ofi9,ofi10,ofiI
2024-10-21 12:48:00+00:00,9.0,9.0,-522.0,1899.0,-116.0,1288.0,15.0,-291.0,14.0,-476.0,-486.0,0.03460121430418095
2024-10-21 12:49:00+00:00,11.0,11.0,1446.0,3025.0,-383.0,-376.0,607.0,1001.0,706.0,1768.0,1728.0,1.3715415909853703
2024-10-21 12:50:00+00:00,400.0,400.0,-2200.0,510.0,-400.0,-1.0,-100.0,-500.0,19.0,61.0,-60.0,-0.21652825855381447
2024-10-21 12:51:00+00:00,-335.0,-335.0,-410.0,1883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05809082503317009
2024-10-21 12:52:00+00:00,-365.0,-365.0,-230.0,400.0,197.0,200.0,1.0,100.0,520.0,105.0,63.0,0.1888358850203823
2024-10-21 12:53:00+00:00,-907.0,-907.0,-899.0,-129.0,-229.0,-502.0,-501.0,-501.0,-601.0,-705.0,-668.0,-0.9083653399044527
2024-10-21 12:54:00+00:00,-375.0,-375.0,-90.0,231.0,547.0,1309.0,501.0,1401.0,606.0,630.0,829.0,1.0109515354593577
2024-10-21 12:55:00+00:00,-2140.0,-2140.0,77.0,189.0,-147.0,-1307.0,-401.0,-1001.0,-605.0,-530.0,-329.0,-1.0786905144190249
2024-10-21 12:56:00+00:00,13.0,13.0,390.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029624394430764176
2024-10-21 12:57:00+00:00,25.0,25.0,14.0,20.0,800.0,1207.0,1.0,1000.0,505.0,30.0,224.0,0.6263332897138061
2024-10-21 12:58:00+00:00,-16.0,-16.0,313.0,1007.0,-278.0,-1107.0,107.0,-1399.0,-1.0,900.0,500.0,-0.11317040649034996
2024-10-21 12:59:00+00:00,0.0,0.0,3.0,-92.0,0.0,-20.0,-1209.0,-101.0,-905.0,-31.0,-324.0,-0.617689230571653
2024-10-21 13:00:00+00:00,-989.0,-989.0,-87.0,1532.0,-391.0,-1407.0,-1.0,-505.0,85.0,-124.0,0.0,-0.3697042604048717
2024-10-21 13:01:00+00:00,-1122.0,-1122.0,-1264.0,-1977.0,-942.0,-692.0,-1169.0,270.0,286.0,1.0,585.0,-0.5980664579015442
2024-10-21 13:02:00+00:00,-4344.0,-4344.0,-5658.0,-3880.0,-2461.0,-2189.0,-2226.0,-1538.0,-856.0,-390.0,-974.0,-3.073435235853149
2024-10-21 13:03:00+00:00,181.0,181.0,-1198.0,1128.0,842.0,643.0,737.0,611.0,1046.0,816.0,868.0,1.066418314213884
2024-10-21 13:04:00+00:00,-219.0,-219.0,-1021.0,-827.0,-242.0,-515.0,-510.0,-111.0,-645.0,-715.0,-268.0,-0.7353233756966965
